,name,date_post,tracks,likes,reposts,user,link
0,uhm,26 October 2020,117,2,None,jimbo,https://soundcloud.com/m-t-ongg/sets/uhm
1,Chill,16 August 2020,189,7,1,Duy Linh,https://soundcloud.com/duy-linh-570362939/sets/chill
2,Lofi,6 March 2021,80,3,1,Duy Linh,https://soundcloud.com/duy-linh-570362939/sets/lofi
3,Produced by Ozee Kxng,21 February 2021,19,5,1,@ozeekxng,https://soundcloud.com/ozeekxng/sets/prod-by-ozee-kxng
4,winno,13 May 2021,5,None,None,User 360204099,https://soundcloud.com/user-360204099/sets/winno
5,sòul,29 May 2021,148,3,None,Sandy26.9,https://soundcloud.com/mai-nguy-n-880905326/sets/soul
6,Van khah,11 February 2018,144,1,None,Van Khanh Le,https://soundcloud.com/van-khanh-le-440559858/sets/van-khah
7,Nhạc,18 May 2019,9,None,None,YoungAT.DASOUTHSIDE,https://soundcloud.com/nguy-n-anh-t-750293006/sets/nh-c
8,qwerty,6 September 2020,15,1,1,neiht,https://soundcloud.com/hashou-shimazaki/sets/qwerty
9,New private playlist,28 February 2021,15,None,None,Tuấn Vũ,https://soundcloud.com/tu-n-v-239764509/sets/new-private-playlist
10,Chill pills,20 April 2021,15,1,None,STEELO,https://soundcloud.com/truong-huu-nguyen-122242657/sets/chill-pills
11,Love,19 June 2021,9,None,None,châu,https://soundcloud.com/minh-chau-275968352/sets/love
12,chill,24 July 2020,25,None,None,Mạnh Lê,https://soundcloud.com/m-nh-l-954425611/sets/chill
13,Maaddie,7 October 2020,15,1,None,Maddie,https://soundcloud.com/l-trung-ngh-a-303059230/sets/maaddie
14,٪,19 December 2020,10,None,None,LowMood,https://soundcloud.com/hien-ta-168463711/sets/st2efp3dxpyi
15,youngboi si tình vibe,22 February 2021,15,10,None,Minh Tú Phạm,https://soundcloud.com/minh-t-ph-m-501472597/sets/youngboi-si-tinh-vibe
16,Địt Con Mẹ M,19 June 2021,15,None,None,Việt Lâm,https://soundcloud.com/vi-t-l-m-953106393/sets/t-con-m-m
17,😏,19 June 2021,6,None,None,Tài Ngọc,https://soundcloud.com/t-i-ng-c-156038211/sets/4hxzfojrga7d
18,😙,25 February 2021,15,1,None,Ngoc Anh Dang,https://soundcloud.com/ngoc-anh-dang-562278041/sets/revnta9h0vks
19,Fav,22 July 2021,15,None,None,Lxxd dx Sxint,https://soundcloud.com/long-nguy-n-245/sets/fav
20,Hiphop,19 June 2021,15,None,None,Văn Đức,https://soundcloud.com/v-n-c-523396752/sets/hiphop
21,fav,1 July 2020,15,4,None,drumie,https://soundcloud.com/inh-ng-c-thanh-tr-m/sets/rap2
22,chill,17 November 2020,15,None,None,le nguyen tuyet nhi,https://soundcloud.com/l-nguy-n-tuy-t-nhi-827918926/sets/chill
23,bruh,19 June 2021,1,None,None,Nhi Sibun,https://soundcloud.com/nhi-sibun/sets/bruh
24,lyricss,5 March 2019,2,None,None,Minhh Tín,https://soundcloud.com/minhh-tin/sets/lyricss
25,Damn,23 February 2021,15,None,None,phuthuytinhiu,https://soundcloud.com/user-851052706/sets/damn
26,Another,31 March 2021,11,None,None,HuwxNguyen,https://soundcloud.com/nguy-n-h-ng-72217803/sets/another
27,lofi,20 May 2021,15,None,None,Duy,https://soundcloud.com/user-466244603/sets/lofi
28,hiphop95g,29 January 2020,15,None,None,nguyên,https://soundcloud.com/s-nguy-n-282954335/sets/hiphop95g
29,nhockuden,29 March 2016,17,1,None,Nguyễn Châu Hùng,https://soundcloud.com/nguy-n-th-ch-u-h-ng/sets/dafuqbrain
30,skull,24 January 2021,8,None,None,qasu83,https://soundcloud.com/lam-minh-quan-443510417/sets/skull
31,falling jn lov3,20 June 2021,3,None,None,D4RK,https://soundcloud.com/liem-le-58023365/sets/falling-jn-lov3
32,Ok,4 February 2021,15,None,None,leiiikongtu,https://soundcloud.com/l-i-190072857/sets/ok
33,-.-,25 April 2021,10,None,None,Nguyễn Hoài Luân,https://soundcloud.com/nguy-n-ho-i-lu-n-494201293/sets/9n63yvviyxes
34,hu$Lang Robber,13 October 2021,15,1,None,Khanh Dinh,https://soundcloud.com/khanh-dinh-641486588/sets/hu-lang-robber
35,sao nào ?,18 June 2021,15,None,None,nely2u,https://soundcloud.com/nguy-n-nhi-110475907/sets/sao-nao
36,Love,27 April 2021,11,None,None,HuwxNguyen,https://soundcloud.com/nguy-n-h-ng-72217803/sets/love
37,hustl@ng,20 June 2021,15,1,None,kuro,https://soundcloud.com/nguyen-duc-long-991326134/sets/hustl-ng
38,27/3/98,9 July 2018,15,None,None,Vân Nam,https://soundcloud.com/van-nam-162769199/sets/27-3-98
39,💚,28 November 2019,15,None,None,omg_HoPh,https://soundcloud.com/ho-ng-ph-m-566032325/sets/4eeystybyuvp
40,Chill,28 November 2019,144,None,None,omg_HoPh,https://soundcloud.com/ho-ng-ph-m-566032325/sets/chill
41,good vibe,4 March 2021,15,None,None,Đào Vương,https://soundcloud.com/trandaovuong/sets/good-vibe
42,New private playlist,21 June 2021,15,None,None,21101997,https://soundcloud.com/tou-miller/sets/new-private-playlist
43,🍑,21 June 2021,15,None,None,good peach..,https://soundcloud.com/hi-u-nguy-n-205350417/sets/v3srihmqgi6b
44,Rap,21 June 2021,15,1,None,KenDanny,https://soundcloud.com/kh-ng-trung-th-ch-478449609/sets/rap
45,21/06,21 June 2021,15,None,None,mitum,https://soundcloud.com/mminh-ngoc/sets/21-06
46,Sad,6 January 2019,15,1,None,Then.meii,https://soundcloud.com/user-615730183/sets/sad
