,name,date_post,plays,likes,reposts,genre
0,Bệnh của anh - Khói x Two,24 December 2015,"4,611,021",37.1K,"3,228",vietdreamerz
1,Mystery,2 November 2018,"58,847",662,50,Alternative Rock
2,feeling warm in the rain,3 June 2019,"19,276",331,25,Chillhop
3,Co Em Doi Bong Vui Chillies Official Video,7 February 2020,"420,368","2,812",95,Pop
4,Love Song- Lana Del Rey,8 September 2019,"33,867",797,10,Indie
5,Chiều tím - da/md,21 October 2019,"251,384","2,778",150,Hip-hop & Rap
6,tình đắng như ly cà phê - nân. và Ngơ,1 April 2018,"8,975,102",97.7K,"5,038",R&B & Soul
7,ANH KHÔNG THỀ GÌ ĐÂU ANH LÀM. #AKTGĐ - PHÚC DU,14 February 2019,"6,290,970",53K,"2,032",None
8,Killic x D.Blue - Chỉ Còn Ta Và Ta Giữa Trời (Prod. by Plantplantworld) [Official Audio],5 June 2020,"6,211,011",57.2K,"1,634",Hip-hop & Rap
9,Ai biết - WEAN,1 September 2019,"6,528,775",58.9K,"1,954",None
10,Hà Nội Đêm Mưa ( NGƠ & Nclownz & JASON ),23 March 2018,"620,214","7,016",448,Neo-Soul
11,NGƠ - CÓ LẼ FT. L A K E (PROD. BY MINHTHAI),16 April 2019,"679,403","8,341",370,Pop
12,"FACETIME CALL - LOPE PHAM, HAI SAM",7 March 2019,"327,901","2,347",109,R&B & Soul
13,Par SG ft. Vu Thanh Van - Instagram (CM1X & FUJISHEN Remix),15 May 2020,"113,424","1,154",42,mood
14,DISTANCE - ERICthe17 (Prod.BuiVanNgan),19 April 2020,"90,597",713,22,Hip-hop & Rap
15,Bốp - Winno (Reply Zuyngusi),4 December 2020,"71,639",615,22,Hip-hop & Rap
16,IS - Prod. Ozee,11 December 2020,"8,762",118,6,None
17,"Noi di Em (feat. K-TLE, Lil Benny & Ozee Kxng)",10 June 2020,"86,333","1,080",75,Alternative
18,DARKSTAR - ςђเєŦ (featuring ★YЦПGBӨ★),11 December 2020,"10,013",211,18,Trap
19,Lonely (Prod. by Ozee'Kxng),5 February 2021,276,41,30,Hip-hop & Rap
20,Em 20 - Winno,3 December 2020,"2,412,301",18.9K,None,None
21,Fancy - Winno (prod.aloha),29 March 2020,"1,582,310",13.5K,None,None
22,Hai Tám Bốn - Winno,3 May 2018,"1,545,356",10K,452,Hip-hop & Rap
23,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,755,932",26.2K,663,Piano
24,Mùa Xuân Cuối Cùng - Riet x Winno x Joe,12 March 2018,"45,399",442,31,Hip-hop & Rap
25,𝕮𝖔𝖑𝖔𝖗 𝖁𝖎𝖇𝖊𝖘 01 * Khong Gian Cau - Dewie,21 March 2021,"130,717","2,256",None,None
26,XANGUTNGAN,5 May 2021,"348,232","5,142",None,None
27,KARMA ft. Young Milo aka Tommy Tèo,22 May 2021,"93,294","1,622",59,Vietnamese Flow
28,EMDIVOIAI? - ritdee x kaybi x chief,20 April 2019,"165,585","1,654",72,Hip-hop & Rap
29,Young Bo5 + Littgurl - *Sheis * ( Ft. LVK & Ritdee),31 August 2020,"228,048","2,990",191,MASTER502
30,Martin Garrix & David Guetta - So Far Away (feat. Jamie Scott & Romy Dya),1 December 2017,"3,085,500",39.8K,None,Dance & EDM
31,Axel Johansson ¦ Alan Walker - The River,25 December 2017,"40,695",360,23,Pop
32,I Took A Pill In Ibiza,24 March 2016,"4,708,576",56.9K,"3,912",Ambient
33,Best Acoustic Covers Of Popular Songs,3 January 2017,"69,737","1,232",22,None
34,Bài ca tuổi trẻ - JGKiD Ft Emcee L KraziNoyze,25 June 2016,"182,612","1,228",142,None
35,Night 17,27 January 2013,"6,862,231",95.5K,"4,038",25 Nights For Nujabes
36,[DCOD] NGTANOISE (Người ta nói - remake) | VSOUL x MFREE x TUYEN VO|,16 July 2019,"5,044,440",44.1K,"1,291",None
37,URABE X VOVANDUC - Đảo Qua Các Đường,6 May 2020,"4,072",54,1,Hip-hop & Rap
38,WESTSIDE ORIGINAL – WESTSIDE ARTIST ( Prod V ),28 January 2020,"152,692","1,194",34,None
